Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
406,5,0.4000,4.000,32.00,0.08696,0.995995,"YPL216W YLR407W YIL101C YOR188W YGL131C"
407,9,0.4167,15.00,97.00,0.1154,0.996062,"YIL153W YNL201C YPR040W YHR011W YBL046W YDR075W YMR028W YNR032W YFL056C"
408,5,0.4000,4.000,61.00,0.05333,0.997166,"YER160C YIL043C YDL230W YHL014C YGR032W"
409,5,0.4000,4.000,29.00,0.09302,0.455490,"YGL104C YJL133W YPL096C-A YPL175W YPL270W"
410,7,0.4286,9.000,54.00,0.1169,0.251761,"YJR026W YHR115C YLR227W-A YDL106C YNL284C-B YLR256W-A YLR157C-A"
411,5,0.4000,4.000,56.00,0.05714,0.992801,"YJR015W YHR142W YHR050W YAR031W YNR013C"
412,5,0.4000,4.000,36.00,0.08000,0.985505,"YBR035C YHR132W-A YFL033C YIL116W YGL185C"
413,5,0.4000,4.000,46.00,0.06667,0.991125,"YIL107C YLR089C YGR031W YOR296W YML106W"
414,6,0.4000,6.000,68.00,0.06977,0.998740,"YHR137W YDL200C YHR183W YGL121C YLR278C YGR256W"
415,5,0.4000,4.000,34.00,0.08333,0.975308,"YJL059W YFL062W YOR079C YMR306W YOR071C"
416,5,0.4000,4.000,31.00,0.08889,0.860179,"YLR292C YNL003C YKR103W YLR301W YDR387C"
417,5,0.7000,7.000,31.00,0.1458,0.956662,"YBL037W YOL062C YJR005W YDL010W YJR058C"
418,6,0.4667,7.000,72.00,0.07692,0.992758,"YER062C YIL053W YKL069W YPL201C YBR182C YHL032C"
419,6,0.4000,6.000,67.00,0.07059,0.998210,"YOR232W YEL030W YER048W-A YJR062C YDR111C YLR369W"
420,5,0.4000,4.000,30.00,0.09091,0.860179,"YMR317W YOL108C YKL017C YOL067C YLR422W"
421,5,0.4000,4.000,18.00,0.1250,0.741726,"YBR275C YLR453C Q0120 YLR382C TL(UAA)Q"
422,5,0.4000,4.000,41.00,0.07273,0.955658,"YKL159C YER162C YKL019W YKL005C YGL155W"
423,8,0.7857,22.00,79.00,0.1880,0.937892,"YKL122C YPL210C YML105C YPL243W YDL092W YPR088C YDL051W YCR090C"
424,4,0.5000,3.000,44.00,0.05455,0.991376,"YFR017C YPR184W YER054C YML078W"
425,5,0.4000,4.000,46.00,0.06667,0.993551,"YGL055W YJR118C YHR181W YGL038C YJL186W"
426,5,0.4000,4.000,33.00,0.08511,0.953803,"YLR083C YPL162C YDR313C YMR177W YOR071C"
427,11,0.8909,49.00,25.00,0.5104,3.53822e-05,"YIR015W YNL221C YBR167C YLR145W YGR030C YHR062C YNL282W YDR478W YBL018C YAL033W YBR257W"
428,11,0.7091,39.00,136.0,0.1980,0.846920,"YPR105C YGL005C YGR120C YML071C YER157W YDL113C YNL041C YJL036W YGL223C YNL051W YGL038C"
429,5,0.4000,4.000,33.00,0.08511,0.625211,"YGR037C YLR359W YBR276C Q0110 YOL152W"
430,11,0.4364,24.00,53.00,0.2424,0.447176,"YNL294C YPL002C YMR077C YPL065W YKL041W YJR102C YLR119W YCL008C YGR206W YLR417W YGL045W"
431,5,0.4000,4.000,41.00,0.07273,0.909390,"YOR355W YDL012C YPR048W YHR032W YHL046C"
432,6,0.4667,7.000,57.00,0.09211,0.916671,"YIL046W YML082W YPL038W YNL103W YDR253C YLR254C"
433,6,0.5333,8.000,58.00,0.1026,0.994315,"YKL181W YNR027W YOL061W YER099C YEL029C YBL068W"
434,5,0.4000,4.000,46.00,0.06667,0.997166,"YLR058C YEL047C YDR234W YKR099W YGL242C"
435,12,0.6212,41.00,118.0,0.2240,0.476823,"YJL002C YML019W YDL232W YER019C-A YLR378C YGL022W YER087C-B YOR103C YOR085W YNL318C YLR404W YGL226C-A"
436,5,0.4000,4.000,44.00,0.06897,0.954656,"YML008C YDL089W YOR097C YMR228W YPR186C"
437,5,0.4000,4.000,44.00,0.06897,0.990378,"YJR122W YPR067W YDL182W YDR500C YBL086C"
