Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
431,4,0.4317,2.590,1.400,0.2160,0.0295359,"YBL056W YBR125C YDR071C YER089C"
432,7,0.4076,8.560,43.37,0.1298,0.327005,"YMR186W YPL240C YDR214W YFR048W YGR123C YLR216C YOR027W"
433,4,0.4800,2.880,18.13,0.09928,0.153246,"YDL126C YMR067C YDR330W YFL044C"
434,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YDR353W YHR106W"
435,4,0.4917,2.950,33.93,0.06573,0.719318,"YDR363W-A YNL087W YJR084W YPR045C"
436,2,0.4000,0.4000,0.000,0.09091,0.0969654,"YDR372C YLR149C"
437,2,0.4800,0.4800,0.000,0.1071,0.0969654,"YDR386W YBR098W"
438,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YDR390C YPR180W"
439,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YDR397C YER159C"
440,5,0.4320,4.320,9.920,0.1782,0.458154,"YGR129W YDR416W YIL068C YJR050W YLR117C"
441,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YDR425W YJL036W"
442,7,0.4033,8.470,43.46,0.1285,0.327005,"YMR186W YPL240C YDR510W YFR048W YGR123C YLR216C YOR027W"
443,2,0.7700,0.7700,0.000,0.1614,0.0969654,"YER078C YDR226W"
444,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YER081W YIL074C"
445,4,0.4217,2.530,8.530,0.1327,0.557383,"YLR259C YER086W YLR355C YPL247C"
446,4,0.4550,2.730,13.30,0.1136,0.150261,"YER133W YMR311C YOR227W YPL137C"
447,5,0.4790,4.790,18.33,0.1446,0.147401,"YBR109C YGL242C YMR109W YFR014C YKL129C"
448,2,0.9100,0.9100,0.000,0.1853,0.0969654,"YFR049W YFL018C"
449,2,0.4500,0.4500,0.000,0.1011,0.0969654,"YGL057C YBR045C"
450,2,0.9400,0.9400,0.000,0.1903,0.0969654,"YGL086W YJL030W"
451,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YBR128C YGR264C"
452,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YBR296C YGR264C"
453,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YDR270W YGR264C"
454,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YIR033W"
455,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YKL050C"
456,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YLR138W"
457,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YLR247C"
458,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YNL119W"
459,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YOR017W"
460,5,0.4690,4.690,18.94,0.1395,0.500000,"YGL245W YBL032W YGL105W YGR264C YOR197W"
461,2,0.4300,0.4300,0.000,0.09707,0.0969654,"YGL110C YKR023W"
462,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YGL155W YKL019W"
463,12,0.3476,22.94,91.31,0.1659,0.00815834,"YDR381W YCL011C YDR138W YHR167W YML062C YNL139C YNL004W YGL166W YNL253W YNL140C YOL033W YOR191W"
464,6,0.4167,6.250,49.95,0.09164,0.184988,"YCR009C YDR388W YPL249C YDR243C YMR192W YGL175C"
465,15,0.4113,43.19,84.04,0.2747,0.0919608,"YIL035C YML069W YGL207W YOR061W YOL006C YBR279W YGL244W YLR418C YOL145C YOR123C YER164W YGL019W YOR039W YMR041C YPL084W"
466,2,0.9700,0.9700,0.000,0.1952,0.0969654,"YGR010W YLR328W"
467,2,0.4000,0.4000,0.000,0.09091,0.0969654,"YGR021W YLR269C"
468,5,0.4770,4.770,20.47,0.1354,0.500000,"YCL031C YGR090W YNL176C YKL078W YNL186W"
469,5,0.4540,4.540,15.24,0.1525,0.336168,"YGR103W YMR049C YJL192C YOR272W YLL008W"
470,5,0.4430,4.430,15.35,0.1488,0.336168,"YGR103W YMR049C YMR023C YOR272W YLL008W"
471,5,0.4380,4.380,15.40,0.1471,0.336168,"YGR103W YMR049C YMR076C YOR272W YLL008W"
472,5,0.4720,4.720,18.91,0.1404,0.500000,"YGL245W YBL032W YGL105W YGR264C YHR111W"
473,4,0.4417,2.650,27.05,0.07029,0.764757,"YIL035C YBR088C YNL149C YKL160W"
474,4,0.4583,2.750,28.78,0.06957,0.442275,"YBL024W YIL070C YOL143C YKL151C"
475,5,0.4130,4.130,16.97,0.1328,0.337587,"YNL132W YJL033W YDR299W YER127W YAL008W"
476,6,0.4207,6.310,22.65,0.1541,0.468037,"YJL138C YOL139C YGL049C YGR162W YDR021W YLR023C"
477,2,0.9900,0.9900,0.000,0.1984,0.0969654,"YJR012C YDR142C"
478,4,0.4317,2.590,10.41,0.1233,0.667497,"YDL188C YKR062W YKL028W YLR167W"
479,4,0.4333,2.600,10.40,0.1238,0.667497,"YDL188C YKR062W YKL028W YKL097W-A"
480,7,0.4024,8.450,48.95,0.1183,0.449108,"YGL106W YBR109C YBR130C YOR326W YKR010C YLR288C YOR127W"
481,2,0.9900,0.9900,1.390,0.1552,0.658454,"YNR031C YLR006C"
482,6,0.4027,6.040,50.16,0.08856,0.184988,"YCR009C YDR388W YPL249C YDR243C YMR192W YLR096W"
483,2,0.8400,0.8400,0.000,0.1736,0.0969654,"YLR116W YKL074C"
484,7,0.4029,8.460,41.20,0.1329,0.738777,"YLR175W YNL308C YDL208W YCL059C YMR290C YDR113C YPL009C"
485,2,0.4500,0.4500,0.000,0.1011,0.0969654,"YLR194C YNL050C"
