Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
357,10,0.6000,27.00,158.0,0.1317,0.987596,"YJL178C YGR163W YBR207W YFL048C YOR316C YBL102W YGL006W YML018C YHR175W YOL129W"
358,3,1.000,3.000,12.00,0.1429,0.827111,"YMR021C YOR111W YJR039W"
359,4,0.6667,4.000,49.00,0.06557,0.990291,"YER120W YHL020C YDL072C YER056C"
360,4,0.6667,4.000,28.00,0.1000,0.993216,"YMR270C YJR057W YBL025W YLR141W"
361,6,0.6667,10.00,37.00,0.1695,0.974561,"YMR029C YMR052W YLR238W YJL082W YDR200C YFR008W"
362,8,0.6071,17.00,53.00,0.1977,0.830048,"YIR002C YER038C YDR288W YLR007W YEL019C YOL034W YLR383W YDL105W"
363,8,0.6429,18.00,22.00,0.3214,0.0349772,"YFL059W YNL334C YNL333W YFL060C YMR095C YMR096W YMR322C YPL280W"
364,5,0.6000,6.000,110.0,0.04762,0.997166,"YML096W YOR233W YGR276C YCR091W YML083C"
365,4,0.6667,4.000,44.00,0.07143,0.993216,"YPL255W YGL075C YIL056W YLR457C"
366,3,0.6667,2.000,5.000,0.1538,0.697212,"YDR185C YKL053C-A YLR193C"
367,3,0.6667,2.000,24.00,0.06250,0.986587,"YGR080W YFL029C YGR068C"
368,3,0.6667,2.000,14.00,0.09091,0.978443,"YKR104W YOL143C YLL062C"
369,3,0.6667,2.000,7.000,0.1333,0.697212,"YIL005W YKL217W YIL166C"
370,15,0.6190,65.00,126.0,0.2941,0.0566444,"YGL153W YDL065C YKL197C YDR244W YGR077C YNL214W YOL147C YOL044W YNL329C YDR265W YMR026C YGR133W YAL055W YJL210W YDR329C"
371,4,0.6667,4.000,16.00,0.1429,0.987673,"YEL053C YCR020C-A YPR051W YIL119C"
372,4,0.6667,4.000,36.00,0.08333,0.962952,"YAL047C YNL224C YJL114W YJL113W"
373,3,0.6667,2.000,21.00,0.06897,0.986587,"YJR047C YHR068W YPR095C"
374,3,0.6667,2.000,19.00,0.07407,0.986587,"YAL018C YIL171W YML002W"
375,7,0.6190,13.00,97.00,0.1048,0.998079,"YOR036W YDR323C YMR197C YAL014C YDR468C YJR125C YGL095C"
376,8,0.6429,18.00,55.00,0.2022,0.684151,"YER038C YDR288W YLR007W YEL019C YOL034W YLR383W YML023C YDL105W"
377,3,0.6667,2.000,15.00,0.08696,0.917920,"YOL036W YFL034C-B YIR016W"
378,4,0.6667,4.000,40.00,0.07692,0.993216,"YBR095C YMR159C YPL149W YAL012W"
379,6,0.6000,9.000,83.00,0.08654,0.937570,"YFR015C YGL134W YLR258W YGL081W YPL219W YKR058W"
380,3,0.6667,2.000,10.00,0.1111,0.917920,"YHL038C Q0105 YDR375C"
381,3,0.6667,2.000,18.00,0.07692,0.986587,"YJL214W YMR243C YNR072W"
382,4,0.6667,4.000,47.00,0.06780,0.993216,"YML088W YDL227C YER143W YJR141W"
383,6,0.6000,9.000,60.00,0.1111,0.988141,"YGL161C YHR105W YGL198W YNL024C-A YDR425W YDR084C"
384,4,0.6667,4.000,22.00,0.1176,0.990291,"YOL017W YOR173W YPL245W YLR270W"
385,6,0.6000,9.000,27.00,0.1875,0.980121,"YCR038C YOR301W YGR041W YLR084C YLR353W YLR404W"
386,3,0.6667,2.000,7.000,0.1333,0.326548,"YIL002C YOR316C-A YKR019C"
387,5,0.6000,6.000,47.00,0.09524,0.996774,"YPR029C YHL019C YLR170C YBR042C YFR043C"
388,5,0.7000,7.000,12.00,0.2414,0.260291,"YHR157W YER044C-A YMR133W YHL022C YLR329W"
389,3,0.6667,2.000,11.00,0.1053,0.917920,"YPR128C YGL114W YMR306W"
390,3,1.000,3.000,17.00,0.1154,0.989794,"YIL139C YOR346W YPL167C"
391,4,0.6667,4.000,33.00,0.08889,0.972743,"YLR221C YOR108W YOL058W YNL104C"
392,4,0.6667,4.000,35.00,0.08511,0.962952,"YDR142C YHR160C YIL160C YDL022W"
393,3,0.6667,2.000,14.00,0.09091,0.917920,"YMR279C YKL220C YDR508C"
394,22,0.6017,139.0,435.0,0.2249,0.829550,"YGR055W YPL058C YBR052C YLR332W YGR065C YDR032C YBL042C YDL222C YER145C YGL077C YLR413W YML072C YOL105C YLR326W YER020W YAL053W YKL051W YGL108C YNL283C YDR497C YGR138C YBR244W"
395,5,0.6000,6.000,76.00,0.06522,0.996774,"YLR386W YFR019W YNL054W YFR021W YNL325C"
396,5,0.6000,6.000,88.00,0.05769,0.992175,"YPL115C YML109W YMR273C YER115C YHR149C"
397,6,0.6000,9.000,96.00,0.07692,0.996047,"YEL015W YOR167C YOL149W YGL222C YLR264W YBR094W"
398,3,0.6667,2.000,11.00,0.1053,0.917920,"YGL157W YMR034C YJL023C"
399,4,0.6667,4.000,52.00,0.06250,0.993495,"YLR039C YIL047C YDR137W YLR262C"
400,5,0.6000,6.000,83.00,0.06061,0.993404,"YOR212W YJL157C YMR199W YHR005C YJR086W"
401,3,0.6667,2.000,13.00,0.09524,0.978443,"YIR035C YLR401C YBR248C"
402,5,0.7000,7.000,28.00,0.1556,0.988407,"YMR115W YCL044C YPR024W YCR003W YER017C"
403,3,0.6667,2.000,17.00,0.08000,0.986587,"YHL009W-B YGL250W YLR082C"
404,6,0.6000,9.000,139.0,0.05625,0.992847,"YGR116W YPR133C YOR151C YGR063C YPL137C YBR236C"
405,5,0.6000,6.000,53.00,0.08696,0.982773,"YKL193C YDR436W YPL036W YFR003C YPL179W"
406,3,0.6667,2.000,10.00,0.1111,0.812087,"YJR011C YNR069C YNR068C"
407,3,0.6667,2.000,11.00,0.1053,0.978443,"YJL160C YCR059C YDR400W"
408,5,0.6000,6.000,59.00,0.08000,0.996774,"YLR004C YML067C YML130C YBR229C YAL042W"
409,5,0.6000,6.000,113.0,0.04651,0.958167,"YOL027C YPR125W YJL096W YDL202W YBR268W"
410,3,0.6667,2.000,12.00,0.1000,0.917920,"YIL151C YDR140W YLR121C"
411,5,0.6000,6.000,52.00,0.08824,0.995695,"YKL074C YLR116W YIL130W YNL210W YPL105C"
412,5,0.7000,7.000,52.00,0.1014,0.855578,"YBR083W YHR084W YGR279C YER109C YMR164C"
413,5,0.6000,6.000,64.00,0.07500,0.995695,"YAL026C YNL321W YER166W YJL204C YCR094W"
414,3,0.6667,2.000,6.000,0.1429,0.500000,"YHR101C YMR200W YOR021C"
415,5,0.6000,6.000,13.00,0.2069,0.711266,"YLR376C YIL132C YHL006C YDR078C YLR046C"
416,3,0.6667,2.000,6.000,0.1429,0.500000,"YMR322C YOR391C YPL280W"
417,5,0.6000,6.000,24.00,0.1500,0.777646,"YLR306W YPL003W YLR128W YDR139C YPR066W"
418,5,0.6000,6.000,71.00,0.06897,0.953154,"YNL161W YOL036W YFL034C-B YER067W YIR016W"
419,3,0.6667,2.000,7.000,0.1333,0.921350,"YAR035W YAL054C YLR049C"
420,6,0.6000,9.000,60.00,0.1111,0.955365,"YNR017W YPL063W YJL143W YGL018C YKR065C YML054C"
421,11,0.8182,45.00,56.00,0.3659,0.0874703,"TL(CAA)A YGR047C YAL001C YBR123C TL(UAA)J YOR110W YPL007C YDR362C TY(GUA)J2 TL(CAA)G2 TL(CAA)C"
422,9,0.6111,22.00,64.00,0.2115,0.500000,"YKL016C Q0085 Q0130 YLR393W YPL078C Q0080 YBL099W YML081C-A YDR377W"
423,5,0.6000,6.000,28.00,0.1364,0.929992,"YNL242W YIL066C YHR024C YLR163C YHR120W"
424,8,0.6071,17.00,58.00,0.1868,0.684151,"YKR035W-A YPR173C YDR486C YLR181C YER128W YKL041W YLR025W YKL002W"
425,4,0.6667,4.000,115.0,0.03150,0.995757,"YBR261C YBR127C YNL239W YBR072W"
426,3,0.6667,2.000,8.000,0.1250,0.880704,"YNR060W YDR384C YBR199W"
427,4,0.6667,4.000,19.00,0.1290,0.987210,"YDL107W YGR062C Q0275 YOR266W"
428,5,0.6000,6.000,57.00,0.08219,0.982773,"YPR028W YDL089W YLR324W YKL165C YGR004W"
429,5,0.6000,6.000,55.00,0.08451,0.989803,"YJL047C YNL261W YPR164W YDR363W YBL060W"
430,6,0.6000,9.000,75.00,0.09375,0.998599,"YAL026C YDR093W YNL323W YER166W YJL204C YHR199C"
431,11,0.6000,33.00,89.00,0.2292,0.822743,"YLR203C YGL187C Q0045 YML129C Q0250 YDL067C YNL052W YGR112W YIL157C YJL062W-A YHR051W"
432,3,0.6667,2.000,14.00,0.09091,0.812087,"YKL190W YMR211W YOR315W"
433,4,0.6667,4.000,25.00,0.1081,0.972743,"Q0250 YBR024W YBR037C YLL009C"
434,5,0.6000,6.000,132.0,0.04054,0.978061,"YLR209C YLL024C YLR035C YMR167W YNL082W"
435,26,0.6092,198.0,747.0,0.1986,0.997611,"YOR210W YOL005C YOR224C YHR143W-A YPL129W YIL021W YER022W YPL203W YJL168C YPR133C YBR154C YER139C YOR151C YGR104C YJL140W YGR005C YDR404C YGR063C YGL070C YPR187W YGL043W YDL115C YPL228W YPR093C YGR186W YNL151C"
436,11,0.6182,34.00,218.0,0.1241,0.999382,"YBR060C YLL004W YPR162C YBL023C YPL001W YJR046W YDR052C YNL261W YHR031C YEL056W YHR118C"
437,5,0.7000,7.000,29.00,0.1522,0.995031,"YMR115W YCL044C YIL136W YPR024W YER017C"
438,4,0.6667,4.000,9.000,0.1905,0.823552,"YCL020W YDR261W-B YCL019W YDR261W-A"
439,3,0.6667,2.000,19.00,0.07407,0.986587,"YBR295W YIL030C YKL209C"
