Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
178,4,0.3018,1.811,2.076,0.1523,0.0969654,"YMR192W YPL249C YDR388W YCR009C"
179,4,0.4176,2.506,0.000,0.2385,0.0105353,"YJL184W YML036W YGR262C YKR038C"
180,4,0.5981,3.588,0.000,0.3096,0.0101040,"YMR117C YOL069W YIL144W YER018C"
181,4,0.3161,1.896,14.76,0.07692,0.903035,"YHR088W YMR290C YGL111W YPL131W"
182,3,0.3491,1.047,0.3144,0.1422,0.0382613,"YLR035C YMR167W YNL082W"
183,7,0.3060,6.427,13.47,0.1896,0.738548,"YOL090W YBR136W YDR097C YIR002C YAR007C YHR164C YPR065W"
184,3,0.4299,1.290,0.000,0.1769,0.0318013,"YIL143C YOR168W YOR352W"
185,8,0.3038,8.507,7.436,0.2663,0.00906450,"YOR267C YJL098W YDL047W YGL197W YLR310C YFR040W YKR028W YBR225W"
186,3,0.4057,1.217,0.000,0.1686,0.0296732,"YDL102W YJR043C YJR006W"
187,6,0.3062,4.593,3.759,0.2257,0.0101203,"YDR188W YOR281C YIL142W YJL111W YNL212W YMR028W"
188,3,0.4536,1.361,0.000,0.1849,0.0296732,"YJL164C YPL203W YIL033C"
189,3,0.3734,1.120,0.000,0.1573,0.0318013,"YGL125W YML082W YPL023C"
190,3,0.3802,1.141,0.000,0.1597,0.0318013,"YDL113C YJL036W YDR425W"
191,3,0.3376,1.013,0.000,0.1444,0.0318013,"YER111C YLR182W YDL056W"
192,3,0.4608,1.382,0.000,0.1872,0.0296732,"YML102W YPR018W YBR195C"
193,5,0.3022,3.022,10.71,0.1273,0.734565,"YKL193C YCR073W-A YLR028C YER133W YMR311C"
194,4,0.3314,1.989,3.905,0.1431,0.442617,"YKR048C YNL078W YOL070C YLR133W"
195,5,0.3373,3.373,11.92,0.1333,0.500000,"YDR101C YGL099W YBR267W YHR170W YKL180W"
196,4,0.4966,2.979,1.917,0.2310,0.0151914,"YGR233C YOL001W YPL031C YPL219W"
